speed_kmh,iso,distance_m,axis,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
60,800,6.5,V,6.044615384615384,0.3374318544688043,0.08619615384615384,0.0074132050406257475,13
60,1600,2.5,H,4.352777777777778,0.9203739427235238,0.15403333333333333,0.033324662413894014,9
60,1600,2.5,V,4.717222222222222,1.1674039337112259,0.15504444444444443,0.019829357094413778,9
60,1600,3.5,H,3.597,0.7859608415464759,0.151505,0.03134631335757223,10
60,1600,3.5,V,3.4585,0.3638455869061918,0.189105,0.029907435437436694,10
60,1600,4.5,H,4.896818181818182,0.23979441952715158,0.10591363636363636,0.006804964765121525,11
60,1600,4.5,V,4.319999999999999,0.3392196928245766,0.12779545454545455,0.008871962988692375,11
60,1600,5.5,H,5.4437500000000005,0.5817572322478917,0.0955625,0.009092732487591893,12
60,1600,5.5,V,4.786666666666666,0.2755517880159516,0.115075,0.010518457802617958,12
60,1600,6.5,H,6.202916666666667,0.5800409794823014,0.0840625,0.009639693624893803,12
60,1600,6.5,V,6.252916666666667,0.44768321964477864,0.0821625,0.005948419385165961,12
80,100,2.5,H,4.703749999999999,0.39643725859207485,0.1064125,0.007073226683366347,8
80,100,2.5,V,3.958125,0.240013950487407,0.1458375,0.008261345013287572,8
80,100,3.5,H,4.588125,0.3646812453558391,0.10961875,0.0067097976071243326,8
80,100,3.5,V,3.953125,0.1402787403707347,0.14886875,0.007400238292495327,8
80,100,4.5,H,5.125555555555556,0.27364946149732833,0.09946111111111111,0.004535194164653937,9
80,100,4.5,V,4.310277777777778,0.5076792239637591,0.13165555555555555,0.012310931231136728,9
80,100,5.5,H,5.350714285714285,0.5406510625427191,0.09670714285714285,0.008748782228184131,7
80,100,5.5,V,4.514285714285714,0.40616528420735054,0.12145714285714285,0.008509427544956056,7
80,100,6.5,H,4.816875,0.28784839139479546,0.10751875,0.006775108723429146,8
80,100,6.5,V,3.8125,0.1832445672552707,0.1380875,0.006077755107180375,8
80,200,2.5,H,4.776875,0.5575516471912845,0.10625,0.009076106780206717,8
80,200,2.5,V,4.154375,0.28865992720055333,0.140875,0.008927525653041519,8
80,200,3.5,H,4.783125,0.5449176707147078,0.1049125,0.008679275397668367,8
80,200,3.5,V,4.045,0.2334217519549416,0.14619375,0.008426507389524702,8
80,200,4.5,H,5.3155,0.36569150629701214,0.095115,0.005411564263480365,10
80,200,4.5,V,4.4285,0.6148760037601073,0.12618000000000001,0.016368282337089212,10
80,200,5.5,H,5.631666666666667,0.5219794057240189,0.0912,0.007619383177134487,9
80,200,5.5,V,4.657777777777778,0.40350891495039387,0.11555555555555556,0.009007095968056392,9
80,200,6.5,H,6.434,0.60969846827938,0.08024,0.00772272260569059,10
80,200,6.5,V,6.1075,0.3908057914958104,0.08341000000000001,0.0052142859317242845,10
80,400,2.5,H,5.635000000000001,1.397741481819868,0.09381666666666667,0.01976787166085413,9
80,400,2.5,V,5.198888888888889,0.6809174774604566,0.10381111111111112,0.014610222828934236,9
80,400,3.5,H,5.045,0.36086206308148916,0.09876875,0.006958085610075723,8
80,400,3.5,V,4.089285714285714,0.40656517078475635,0.14609999999999998,0.007587324956794721,7
80,400,4.5,H,8.200000000000001,0.623513231615818,0.060733333333333334,0.004114684070496784,9
80,400,4.5,V,7.64625,0.4929629803545087,0.06573125,0.003692650761019393,8
80,400,5.5,H,4.613125,0.21184457746187416,0.10864375000000001,0.006777085208891162,8
80,400,5.5,V,4.146875,0.12563943591541188,0.13008124999999998,0.003345993072744946,8
80,400,6.5,H,4.983124999999999,0.33222128490338654,0.1014,0.006209784905407643,8
80,400,6.5,V,3.909375,0.09711692143273176,0.135625,0.005305926605490985,8
80,800,2.5,H,4.558888888888889,1.1440300962435872,0.11839444444444444,0.03003498423135557,9
