sub_dir,fnm,laplacian_variance,tenengrad,brenner_gradient,fft_blur_score,cpbd,noise_mad,noise_gaussian_diff,snr,rms_contrast,michelson_contrast,colorfulness,saturation,brightness,dynamic_range,entropy,histogram_uniformity,brisque,niqe_simple,piqe_simple,hsmb,weighted_score,quality_grade,dl_dbcnn,dl_arniqa,fr_ssim,fr_psnr,fr_mse,fr_mae,fr_uqi,fr_weighted_score,fr_grade,fr_ms_ssim,illum_lx,iso,shutter_us,speed_kmh
40000lx_0640_500us_00,03.png,79.3794873554709,9493361534,271346167,2120.538659195162,0.01837200588650174,2.965159377316531,1.322898864746094,10.54725579824331,55.26625342376612,0.9029850746268657,43.59475078726196,0.1079617552248221,186.132758670383,242,7.298283489617239,0.6045587327745225,62.0969473345888,37.80055724416257,41.36893914657715,0.8632,0.3391,D,0.397,0.5599,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,04.png,79.03183575942006,9463321568,269257206,2109.89731858606,0.01843812730577257,2.965159377316531,1.321820576985677,10.55260500986535,55.22027454974735,0.9029850746268657,43.57436456040475,0.1080270937585103,186.0924750434028,242,7.296907005866285,0.602225833468967,62.12596700107614,37.78541240733536,39.65993958618017,0.8586,0.3389,D,0.394,0.5365,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,05.png,78.94521145480556,9465173324,269378122,2104.693458090332,0.01837285359700521,2.965159377316531,1.322456359863281,10.55371206226769,55.21492422773782,0.895910780669145,43.58367860338787,0.108006534285535,186.0981619093153,241,7.297148632070924,0.6023974948459201,62.13317487866494,37.78779388982135,39.43237776140952,0.857,0.3388,D,0.3952,0.56,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,06.png,78.89501442347961,9472797214,269227937,2109.297347613583,0.01855172051323785,2.965159377316531,1.321606106228299,10.55715621993753,55.20013098003529,0.9029850746268657,43.57738151674475,0.1079424008305036,186.1220893859863,242,7.295206917682299,0.6009652879503038,62.13842219727203,37.79692302153568,40.92186067272444,0.8584,0.3388,D,0.403,0.5518,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,07.png,79.00144442465131,9463883926,269538818,2113.377009653434,0.01836140950520833,2.965159377316531,1.32161373562283,10.54539500345614,55.26129476171061,0.895910780669145,43.58922242364826,0.1081011637103843,186.0761905246311,241,7.300433787269232,0.604591793484158,62.11476682149991,37.7793217688812,38.55371316701225,0.8671,0.3389,D,0.4054,0.5596,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,08.png,79.06309833242429,9461175486,268790347,2109.57128887669,0.01829401652018229,2.965159377316531,1.321941375732422,10.54741269326736,55.24764294611594,0.9029850746268657,43.58197400176632,0.108124487384472,186.0734409756131,242,7.299760048016096,0.603780534532335,62.11643495100885,37.77823287370413,39.31887363630863,0.8647,0.3389,D,0.3992,0.5529,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,09.png,79.0997271735421,9486725582,270015485,2112.383165989933,0.01837539672851562,2.965159377316531,1.323149787055121,10.54997302657147,55.22806265618312,0.895910780669145,43.5505303547783,0.1079336411553011,186.0623321533203,241,7.296796223326502,0.6026060316297743,62.12289441857821,37.77327042586417,39.47059666740184,0.8592,0.3389,D,0.3986,0.5662,,,,,,,,,40000,640,500,0
40000lx_0640_500us_00,10.png,79.03424338556171,9470123708,269663615,2109.990777528579,0.0181427001953125,2.965159377316531,1.322725507948134,10.54753638897184,55.24835852451157,0.895910780669145,43.58524389114807,0.1080332155580874,186.0785009596083,241,7.299174726238085,0.6033944023980035,62.11923128926472,37.77972216269961,39.01096913614724,0.8668,0.3388,D,0.3988,0.5623,,,,,,,,,40000,640,500,0
40000lx_0640_500us_10,01.png,47.63767389838662,5952024330,255198331,1624.70366645655,0.01454289754231771,2.965159377316531,1.039028591579861,10.68436880238283,54.36715973170396,0.895910780669145,43.03761053606478,0.1029752693924249,186.0180490281847,241,7.259637378314769,0.5826089647081163,63.3860255687292,37.91621648950618,44.11866902691332,0.8194,0.3214,D,0.3231,0.4593,0.8424459675660748,22.85485496314023,336.9728139241536,7.444143224645544,0.1234746810888313,0.5278310420406195,C,0.8976,40000,640,500,10
40000lx_0640_500us_10,02.png,48.79435894361202,6053516208,259968013,1642.299014009454,0.01469972398546007,2.965159377316531,1.051392873128255,10.64911772170181,54.43374039733512,0.9172932330827067,43.03749627328755,0.1034486143157892,185.4915216233995,244,7.279450902555283,0.5931710137261285,63.33294567987537,37.70695361258623,45.69912267776446,0.8306,0.3221,D,0.3317,0.4367,0.7675027011487122,18.51230594269419,915.9036011872469,14.75970006872106,0.05445430782974828,0.4502007990157814,C,0.7643,40000,640,500,10
40000lx_0640_500us_10,03.png,49.39215526085658,6076284890,260621121,1658.606416538519,0.01475397745768229,2.965159377316531,1.061567518446181,10.5891840637917,54.55686718572608,0.9318181818181818,43.02822008002092,0.1027644537632761,184.6327027214898,246,7.308376072161628,0.591721428765191,63.28646711813171,37.37382764207421,43.5002502498097,0.8229,0.3225,D,0.3221,0.4655,0.7567709083450006,17.99411446483556,1031.974377243607,18.01956303914388,0.007512909285111496,0.430545391913127,C,0.7604,40000,640,500,10
40000lx_0640_500us_10,04.png,39.97914248528545,5004961304,217729187,1619.129302489662,0.01416609022352431,4.447739065974797,1.020517137315538,9.9408775438265,55.83796806385614,0.9691119691119691,40.9543632095143,0.1085446692240264,175.3773418002658,251,7.444006626641118,0.6524446275499132,63.29068673120996,34.00024356085096,47.16927071752293,0.8306,0.3126,D,0.3212,0.4539,0.7632634574206255,17.993593455614,1032.09818734063,21.74937876948604,0.0343041327177844,0.4398365703369944,C,0.7744,40000,640,500,10
40000lx_0640_500us_10,05.png,41.81651726271957,5304231286,230099943,1613.90529861595,0.01428095499674479,2.965159377316531,1.023168775770399,10.28615494379621,55.0324408432524,0.9465648854961832,41.78473649766247,0.1067729077308007,179.8566593594021,248,7.37367845848367,0.6253221299913194,63.4457794354291,35.60740282014618,46.69663470637732,0.8217,0.3188,D,0.3157,0.4631,0.7762526656805632,18.39612034326018,940.737218786169,17.84432757342303,0.05781763441185587,0.4537283172780106,C,0.7859,40000,640,500,10
40000lx_0640_500us_10,06.png,41.22367597533387,5202917978,225418953,1610.031276390013,0.01410463121202257,2.965159377316531,1.022324456108941,10.20285654940578,55.16914369975222,0.9540229885057471,41.55014206882913,0.1071547315011617,178.5825708177355,249,7.385192907535355,0.6287362840440538,63.43272200352553,35.14337612034436,47.18943334511064,0.8176,0.3186,D,0.3159,0.4422,0.8172730963728547,20.38453826247785,595.1501324971517,16.39012329666703,0.1087180323743828,0.4967805144800825,C,0.8672,40000,640,500,10
40000lx_0640_500us_10,07.png,40.56222768077831,5094765098,220612888,1604.278597917639,0.01413726806640625,4.447739065974797,1.018662770589193,10.09837653234678,55.43974541419232,0.9615384615384616,41.31034194768743,0.1075286715638404,177.3127861022949,250,7.407137886406776,0.6382768419053819,63.37729053288177,34.68783159257664,47.42841724119493,0.8206,0.3125,D,0.3153,0.4413,0.7334435692281525,16.06173713929834,1610.29945868033,24.373962826199,0.03708860546295335,0.4150817390320877,C,0.6666,40000,640,500,10
