speed_kmh,shutter_us,illum_lx,iso,axis,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
70,250,40000,1250,V,4.032,0.08042249547096748,0.13022499999999998,0.0015433099350278217,10
0,500,40000,640,H,3.2370000000000005,0.007888106377466167,0.170135,0.0007550018395857032,10
0,500,40000,640,V,3.15,0.019002923751652284,0.17684,0.0016497137798889736,10
10,500,40000,640,H,6.099,0.26514985280864184,0.079815,0.002964329603805889,10
10,500,40000,640,V,3.012,0.1425014619808046,0.17371,0.010225697476890708,10
30,500,40000,640,H,15.168000000000001,0.09548705555088473,0.03211,0.000317804971641414,10
30,500,40000,640,V,3.223,0.0710711693382845,0.158215,0.0036876708999945603,10
50,500,40000,640,H,25.224,0.37637008973142894,0.02052,0.0003224903099319413,10
50,500,40000,640,V,3.7365000000000004,0.098179257822957,0.13338999999999998,0.0027003909182026107,10
70,500,40000,640,H,35.385,0.43237715018257095,0.01552857142857143,0.0004742161452132906,7
70,500,40000,640,V,4.457142857142857,0.08410594226218156,0.10919285714285713,0.0018435537627610613,7
