speed_kmh,shutter_us,illum_lx,iso,axis,frame,bew_px,mtf50_cy_px,n_roi
10,500,15000,640,V,02.png,2.975,0.17759999999999998,2
10,500,15000,640,V,03.png,2.9450000000000003,0.17804999999999999,2
10,500,15000,640,V,04.png,3.0250000000000004,0.172,2
10,500,15000,640,V,05.png,3.25,0.1593,2
10,500,15000,640,V,06.png,2.99,0.1756,2
10,500,15000,640,V,07.png,3.3049999999999997,0.1558,2
10,500,15000,640,V,08.png,2.95,0.17654999999999998,2
10,500,15000,640,V,09.png,3.04,0.17385,2
10,500,15000,640,V,10.png,3.04,0.17385,2
10,500,40000,640,H,01.png,5.855,0.0826,2
10,500,40000,640,H,02.png,5.78,0.0833,2
10,500,40000,640,H,03.png,5.755,0.0837,2
10,500,40000,640,H,04.png,6.5,0.07555,2
10,500,40000,640,H,05.png,6.245,0.07765,2
10,500,40000,640,H,06.png,6.325,0.07730000000000001,2
10,500,40000,640,H,07.png,6.42,0.0763,2
10,500,40000,640,H,08.png,6.095000000000001,0.0799,2
10,500,40000,640,H,09.png,6.0,0.0811,2
10,500,40000,640,H,10.png,6.015,0.08075,2
10,500,40000,640,V,01.png,2.885,0.18325000000000002,2
10,500,40000,640,V,02.png,2.855,0.18575,2
10,500,40000,640,V,03.png,2.84,0.1866,2
10,500,40000,640,V,04.png,3.23,0.1596,2
10,500,40000,640,V,05.png,3.15,0.16435,2
10,500,40000,640,V,06.png,3.13,0.16455,2
10,500,40000,640,V,07.png,3.16,0.16225,2
10,500,40000,640,V,08.png,2.975,0.175,2
10,500,40000,640,V,09.png,2.935,0.1773,2
10,500,40000,640,V,10.png,2.96,0.17845,2
30,50,15000,1600,H,01.png,4.6850000000000005,0.1115,2
30,50,15000,1600,H,02.png,4.295,0.12360000000000002,2
30,50,15000,1600,H,03.png,4.01,0.13390000000000002,2
30,50,15000,1600,H,04.png,3.3200000000000003,0.15460000000000002,2
30,50,15000,1600,H,05.png,4.37,0.1154,2
30,50,15000,1600,H,06.png,3.76,0.1347,2
30,50,15000,1600,H,07.png,3.505,0.14350000000000002,2
30,50,15000,1600,H,08.png,3.37,0.1476,2
30,50,15000,1600,H,09.png,3.675,0.13865,2
30,50,15000,1600,H,10.png,4.195,0.12329999999999999,2
30,50,15000,1600,V,01.png,3.39,0.15134999999999998,2
30,50,15000,1600,V,02.png,3.16,0.15995,2
30,50,15000,1600,V,03.png,2.995,0.16945,2
30,50,15000,1600,V,04.png,2.9,0.188,2
30,50,15000,1600,V,05.png,3.16,0.16305,2
30,50,15000,1600,V,06.png,3.05,0.16995,2
30,50,15000,1600,V,07.png,3.015,0.18445,2
30,50,15000,1600,V,08.png,2.73,0.1849,2
30,50,15000,1600,V,09.png,2.825,0.1834,2
30,50,15000,1600,V,10.png,3.135,0.1671,2
30,50,40000,1600,H,01.png,4.165,0.1288,2
30,50,40000,1600,H,02.png,3.71,0.1378,2
30,50,40000,1600,H,03.png,3.9050000000000002,0.13585,2
30,50,40000,1600,H,04.png,4.365,0.121,2
30,50,40000,1600,H,05.png,4.08,0.1295,2
30,50,40000,1600,H,06.png,3.9749999999999996,0.1351,2
30,50,40000,1600,H,07.png,3.75,0.14065,2
30,50,40000,1600,H,08.png,3.665,0.1367,2
30,50,40000,1600,H,09.png,3.835,0.1396,2
30,50,40000,1600,H,10.png,3.715,0.1374,2
30,50,40000,1600,V,01.png,3.335,0.15275,2
30,50,40000,1600,V,02.png,3.51,0.1548,2
30,50,40000,1600,V,03.png,3.46,0.15225,2
30,50,40000,1600,V,04.png,3.485,0.14939999999999998,2
30,50,40000,1600,V,05.png,3.475,0.15295,2
30,50,40000,1600,V,06.png,3.415,0.15505000000000002,2
30,50,40000,1600,V,07.png,3.375,0.16025,2
30,50,40000,1600,V,08.png,3.5300000000000002,0.15215,2
30,50,40000,1600,V,09.png,3.465,0.15455,2
30,50,40000,1600,V,10.png,3.385,0.15315,2
30,100,15000,1600,H,01.png,4.779999999999999,0.1018,2
30,100,15000,1600,H,02.png,5.33,0.0915,2
30,100,15000,1600,H,03.png,4.465,0.10794999999999999,2
30,100,15000,1600,H,04.png,4.665,0.1074,2
30,100,15000,1600,H,05.png,4.495,0.10994999999999999,2
30,100,15000,1600,H,06.png,4.76,0.10364999999999999,2
30,100,15000,1600,H,07.png,4.665,0.10414999999999999,2
30,100,15000,1600,H,08.png,4.515000000000001,0.10894999999999999,2
30,100,15000,1600,H,09.png,5.07,0.09905,2
30,100,15000,1600,H,10.png,4.625,0.10464999999999999,2
30,100,15000,1600,V,01.png,3.105,0.1729,2
30,100,15000,1600,V,02.png,3.285,0.15539999999999998,2
30,100,15000,1600,V,03.png,2.92,0.18655,2
30,100,15000,1600,V,04.png,2.91,0.1795,2
30,100,15000,1600,V,05.png,2.86,0.18380000000000002,2
