condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
15000lx_1250_250us_30,15000,1250,250,30,05.png,2.0258,1.4421
15000lx_1250_250us_30,15000,1250,250,30,06.png,2.0165,1.3990
15000lx_1250_250us_30,15000,1250,250,30,07.png,2.0254,1.4590
15000lx_1250_250us_30,15000,1250,250,30,08.png,2.0264,1.4345
15000lx_1250_250us_30,15000,1250,250,30,09.png,2.0250,1.4056
15000lx_1250_250us_30,15000,1250,250,30,10.png,2.0134,1.4147
15000lx_1250_250us_50,15000,1250,250,50,01.png,2.5861,1.5731
15000lx_1250_250us_50,15000,1250,250,50,02.png,2.5712,1.5772
15000lx_1250_250us_50,15000,1250,250,50,03.png,2.5648,1.5410
15000lx_1250_250us_50,15000,1250,250,50,04.png,2.5898,1.5166
15000lx_1250_250us_50,15000,1250,250,50,05.png,2.5575,1.5068
15000lx_1250_250us_50,15000,1250,250,50,06.png,2.5741,1.5260
15000lx_1250_250us_50,15000,1250,250,50,07.png,2.5755,1.5177
15000lx_1250_250us_50,15000,1250,250,50,08.png,2.5833,1.5099
15000lx_1250_250us_50,15000,1250,250,50,09.png,2.5580,1.5137
15000lx_1250_250us_50,15000,1250,250,50,10.png,2.5922,1.5350
15000lx_1250_250us_70,15000,1250,250,70,01.png,2.9878,1.6423
15000lx_1250_250us_70,15000,1250,250,70,02.png,2.9334,1.5987
15000lx_1250_250us_70,15000,1250,250,70,03.png,2.9524,1.6202
15000lx_1250_250us_70,15000,1250,250,70,04.png,2.9484,1.6018
15000lx_1250_250us_70,15000,1250,250,70,05.png,2.9692,1.6396
15000lx_1250_250us_70,15000,1250,250,70,06.png,2.9667,1.6660
15000lx_1250_250us_70,15000,1250,250,70,07.png,2.9870,1.6550
15000lx_1250_250us_70,15000,1250,250,70,08.png,2.9898,1.6296
15000lx_1250_250us_70,15000,1250,250,70,09.png,2.9977,1.6553
15000lx_1250_250us_70,15000,1250,250,70,10.png,2.9260,1.6831
15000lx_1600_050us_00,15000,1600,50,0,01.png,0.9574,1.1175
15000lx_1600_050us_00,15000,1600,50,0,02.png,0.9628,1.1196
15000lx_1600_050us_00,15000,1600,50,0,03.png,0.9564,1.1178
15000lx_1600_050us_00,15000,1600,50,0,04.png,0.9716,1.1246
15000lx_1600_050us_00,15000,1600,50,0,05.png,0.9758,1.1399
15000lx_1600_050us_00,15000,1600,50,0,06.png,0.9787,1.1480
15000lx_1600_050us_00,15000,1600,50,0,07.png,0.9522,1.1137
15000lx_1600_050us_00,15000,1600,50,0,08.png,0.9558,1.1205
15000lx_1600_050us_00,15000,1600,50,0,09.png,0.9569,1.1180
15000lx_1600_050us_00,15000,1600,50,0,10.png,0.9698,1.1128
15000lx_1600_050us_10,15000,1600,50,10,01.png,0.9549,1.1221
15000lx_1600_050us_10,15000,1600,50,10,02.png,0.9674,1.0962
